Team1Goal,Team1Los,Team1Yellow,Team1Red,Team1WinRate,Team1PinRate,Team1LosRate,Team1MatchCount,Team2Goal,Team2Los,Team2Yellows,Team2Reds,Team2WinRate,Team2PinRate,Team2LosRate,Team2MatchCount,3,1,0,AllResult
1.39,1.173,2.829,0.243,0.459,0.265,0.276,69,1.067,1.048,2.723,0.276,0.325,0.372,0.303,59,0,0,1,0
1.833,0.939,2.154,0.056,0.581,0.195,0.225,83,0.766,2.863,0.993,0.079,0.088,0.215,0.696,26,1,0,0,3
1.736,1.429,1.797,0.135,0.449,0.222,0.329,94,1.72,1.297,2.253,0.083,0.533,0.223,0.244,122,1,0,0,3
1.584,1.191,1.515,0.028,0.487,0.227,0.286,97,1.807,0.766,1.538,0.075,0.622,0.201,0.177,130,1,0,0,3
1.174,1.344,1.829,0.084,0.326,0.271,0.403,84,1.3,1.607,1.783,0.15,0.275,0.251,0.473,77,1,0,0,3
2.2,1.268,1.701,0.052,0.607,0.145,0.248,111,1.142,1.351,1.697,0.146,0.345,0.288,0.367,81,1,0,0,3
1.18,1.382,1.686,0.116,0.369,0.228,0.404,86,0.98,1.392,1.694,0.238,0.283,0.325,0.392,95,1,0,0,3
1.285,1.369,1.903,0.073,0.346,0.28,0.374,93,1.186,1.232,1.649,0.081,0.339,0.281,0.38,84,0,0,1,0
0.868,1.727,1.831,0.143,0.241,0.203,0.556,82,1.522,1.553,1.614,0.126,0.384,0.314,0.302,63,1,0,0,3
1.084,1.158,2.314,0.062,0.306,0.303,0.391,86,2.172,1.212,1.803,0.08,0.555,0.188,0.258,104,0,0,1,0
1.638,1.067,1.765,0.084,0.475,0.333,0.192,105,1.313,1.326,1.913,0.183,0.395,0.202,0.404,82,1,0,0,3
1.03,1.374,1.765,0.161,0.3,0.237,0.463,87,1.395,1.363,1.669,0.099,0.419,0.233,0.347,99,0,1,0,1
2.835,0.874,1.423,0.086,0.77,0.115,0.115,120,0.811,1.43,1.553,0.054,0.323,0.161,0.516,80,1,0,0,3
1.185,1.082,2.001,0.109,0.443,0.15,0.406,60,1.046,1.266,1.767,0.149,0.439,0.184,0.377,82,0,0,1,0
2.15,1.008,1.366,0.08,0.678,0.122,0.2,108,1.226,1.541,1.363,0.056,0.294,0.265,0.441,87,1,0,0,3
1.402,1.471,2.079,0.101,0.352,0.266,0.382,70,1.065,1.162,2.233,0.113,0.343,0.305,0.351,77,0,1,0,1
2.277,0.902,1.424,0.023,0.684,0.152,0.165,113,2.182,1.391,1.457,0.079,0.462,0.253,0.285,103,1,0,0,3
2.009,0.875,1.807,0.038,0.672,0.17,0.158,104,0.919,1.558,2.271,0.126,0.224,0.227,0.549,79,1,0,0,3
1.382,1.694,1.515,0.08,0.277,0.221,0.502,72,2.332,0.968,1.752,0.062,0.602,0.202,0.195,87,0,1,0,1
2.337,0.989,1.178,0.021,0.679,0.174,0.147,120,1.102,1.572,1.661,0.1,0.292,0.27,0.438,83,1,0,0,3
1.071,1.572,2.061,0.212,0.309,0.251,0.44,61,2.02,1.107,1.671,0.078,0.579,0.21,0.21,75,0,0,1,0
2.016,1.097,1.672,0.075,0.589,0.203,0.209,112,1.547,1.765,2.157,0.213,0.253,0.27,0.477,22,0,1,0,1
2.023,1.505,1.408,0.09,0.492,0.172,0.336,75,1.89,1.36,1.486,0.088,0.547,0.213,0.24,90,0,0,1,0
1.109,1.149,3.307,0.107,0.3,0.256,0.445,42,1.189,2.075,2.277,0.104,0.239,0.173,0.588,86,1,0,0,3
1.461,1.413,1.254,0.042,0.414,0.264,0.322,90,1.723,1.307,1.646,0.098,0.402,0.358,0.241,83,0,0,1,0
1.455,1.453,1.531,0.03,0.353,0.251,0.397,78,1.18,1.752,1.523,0.082,0.334,0.286,0.38,73,1,0,0,3
2.089,1.007,1.16,0.023,0.617,0.197,0.186,102,1.62,1.282,1.242,0.077,0.461,0.249,0.289,78,1,0,0,3
2.039,0.977,1.382,0.079,0.667,0.164,0.169,103,1.606,1.568,2.053,0.102,0.348,0.382,0.27,85,0,0,1,0
1.712,1.131,1.97,0.082,0.502,0.293,0.205,84,1.281,1.58,2.116,0.07,0.348,0.176,0.476,88,1,0,0,3
0.957,1.288,2.672,0.064,0.209,0.497,0.294,43,0.936,1.059,2.708,0.06,0.333,0.234,0.434,57,0,1,0,1
2.224,1.001,1.56,0.046,0.677,0.137,0.186,100,1.508,1.571,2.085,0.095,0.35,0.145,0.504,78,1,0,0,3
1.96,1.746,0.827,0.034,0.381,0.279,0.34,18,1.098,1.477,1.927,0.142,0.248,0.317,0.435,91,1,0,0,3
1.442,1.453,1.392,0.04,0.381,0.266,0.353,93,2.335,0.922,1.673,0.065,0.672,0.199,0.129,122,0,1,0,1
1.974,1.085,1.454,0.044,0.596,0.185,0.219,121,1.218,1.653,1.662,0.097,0.319,0.238,0.443,100,1,0,0,3
1.636,1.337,1.969,0.041,0.472,0.176,0.352,74,1.092,1.265,1.654,0.089,0.299,0.361,0.339,76,0,1,0,1
1.584,1.157,1.807,0.061,0.456,0.314,0.23,88,1.035,1.472,1.807,0.039,0.233,0.253,0.515,79,1,0,0,3
1.297,1.688,1.228,0.022,0.301,0.222,0.477,67,1.3,1.823,1.731,0.165,0.319,0.255,0.426,72,1,0,0,3
1.275,1.589,1.868,0.127,0.279,0.278,0.443,83,1.362,1.278,1.34,0.056,0.428,0.16,0.411,72,1,0,0,3
1.226,1.31,1.793,0.006,0.619,0.029,0.352,14,1.476,0.98,2.667,0.059,0.49,0.25,0.26,20,1,0,0,3
1.395,1.494,1.537,0.084,0.416,0.27,0.314,74,1.598,1.427,1.333,0.053,0.463,0.173,0.365,67,1,0,0,3
2.051,0.7,1.943,0.133,0.59,0.285,0.125,104,1.037,1.007,2.218,0.113,0.419,0.29,0.292,82,1,0,0,3
